-5.0 1.1862018778440194e-12 -1.1624332000885488e-11 7.967309592605841e-11 4.4084857350056835e-10 2.0878213999676473e-09
-4.994994994994995 2.3753128291359203e-12 -2.3276007655192717e-11 1.595256259001954e-10 8.826458443941892e-10 4.1799266597661375e-09
-4.98998998998999 3.570237167219852e-12 -3.4982318381447475e-11 2.3973662925344977e-10 1.3263381317973186e-09 6.2805874979803196e-09
-4.984984984984985 4.7738815130690295e-12 -4.677056705160942e-11 3.2048515053304966e-10 1.7728713959322028e-09 8.39407218116177e-09
-4.97997997997998 5.9891618106737885e-12 -5.866813116144159e-11 4.0195063587373126e-10 2.223193237854031e-09 1.0524654120747993e-08
-4.974974974974975 7.219010307237341e-12 -7.070252563133315e-11 4.843133267007473e-10 2.678254883842661e-09 1.2676620395455987e-08
-4.96996996996997 8.466382515036533e-12 -8.29014653832396e-11 5.67754651640361e-10 3.1390131586862125e-09 1.4854280216509478e-08
-4.964964964964965 9.734264171552502e-12 -9.529292783701252e-11 6.524576174979025e-10 3.606432452001082e-09 1.7061973352689242e-08
-4.95995995995996 1.1025678214265249e-11 -1.0790521546734627e-10 7.386072001497459e-10 4.081486681659503e-09 1.930407853186302e-08
-4.954954954954955 1.2343691786335627e-11 -1.2076701856085884e-10 8.263907361838088e-10 4.565161258331448e-09 2.1585021835354505e-08
-4.94994994994995 1.369142328926703e-11 -1.3390747831144248e-10 9.159983161132873e-10 5.058455055092051e-09 2.3909285101248602e-08
-4.944944944944945 1.5072049498546107e-11 -1.4735625039095253e-10 1.0076231799802957e-09 5.562382385998615e-09 2.6281414352500763e-08
-4.93993993993994 1.648881275820638e-11 -1.6114356913154965e-10 1.1014621161598204e-09 6.077974997502339e-09 2.8706028265521537e-08
-4.934934934934935 1.794502827023995e-11 -1.753003124555561e-10 1.1977158641698473e-09 6.606284076528999e-09 3.118782669474187e-08
-4.92992992992993 1.944409149479973e-11 -1.8985806768853088e-10 1.296589522290707e-09 7.148382279039649e-09 3.373159926852919e-08
-4.924924924924925 2.0989485677187393e-11 -2.0484919839140283e-10 1.3982929607954815e-09 7.7053657828668e-09 3.6342234071718767e-08
-4.91991991991992 2.2584789517709998e-11 -2.2030691234792066e-10 1.5030412415937669e-09 8.27835636861336e-09 3.902472642994704e-08
-4.914914914914915 2.423368500061057e-11 -2.362653308443797e-10 1.611055045093116e-09 8.868503532400637e-09 4.1784187810924934e-08
-4.90990990990991 2.5939965398434343e-11 -2.527595593795651e-10 1.7225611050860799e-09 9.476986634257781e-09 4.462585485776596e-08
-4.904904904904905 2.7707543468383116e-11 -2.698257599441038e-10 1.837792652475922e-09 1.0105017085958132e-08 4.755509856948947e-08
-4.8998998998999 2.95404598574342e-11 -2.8750122500994635e-10 1.9569898686607168e-09 1.0753840582127747e-08 5.057743364384854e-08
-4.894894894894895 3.14428917332589e-11 -3.0582445337249245e-10 2.0804003494037493e-09 1.142473937847803e-08 5.369852799768854e-08
-4.88988988988989 3.3419161658266816e-11 -3.2483522798994386e-10 2.2082795800277663e-09 1.2119034621047591e-08 5.6924212480123026e-08
-4.884884884884885 3.5473746724428184e-11 -3.4457469596680204e-10 2.3408914227817984e-09 1.2838088730378234e-08 6.026049079391901e-08
-4.87987987987988 3.7611287966885434e-11 -3.650854508310289e-10 2.478508617241884e-09 1.3583307844596227e-08 6.371354964061315e-08
-4.874874874874875 3.98366000747588e-11 -3.8641161725726274e-10 2.6214132946211218e-09 1.4356144325422778e-08 6.728976910503394e-08
-4.86986986986987 4.215468141797847e-11 -4.0859893839162273e-10 2.7698975068800426e-09 1.515809933119667e-08 7.099573329508254e-08
-4.864864864864865 4.457072440943786e-11 -4.316948659370464e-10 2.92426377154532e-09 1.5990725461057542e-08 7.483824125282467e-08
-4.85985985985986 4.709012622226007e-11 -4.5574865316178983e-10 3.084825633163353e-09 1.6855629474510077e-08 7.882431815317026e-08
-4.854854854854855 4.971849988250223e-11 -4.808114509976821e-10 3.2519082423352134e-09 1.7754475090667582e-08 8.296122680666386e-08
-4.84984984984985 5.246168575819078e-11 -5.069364073989594e-10 3.4258489533009567e-09 1.868898587155787e-08 8.725647948317878e-08
-4.844844844844845 5.532576346618625e-11 -5.341787701370294e-10 3.606997941064219e-09 1.9660948193965376e-08 9.171785007359972e-08
-4.83983983983984 5.831706421901796e-11 -5.625959932113151e-10 3.795718839072547e-09 2.067221431438047e-08 9.635338660689471e-08
-4.834834834834835 6.144218363450946e-11 -5.922478470614226e-10 3.992389398494866e-09 2.172470553173079e-08 1.0117142414031376e-07
-4.82982982982983 6.470799503173369e-11 -6.231965327712658e-10 4.1974021701650655e-09 2.282041545267942e-08 1.0618059804081366e-07
-4.824824824824825 6.812166323759551e-11 -6.55506800461465e-10 4.411165210289801e-09 2.396141336439147e-08 1.1138985767618999e-07
-4.81981981981982 7.169065892913699e-11 -6.892460720723262e-10 4.634102811049274e-09 2.514984771979355e-08 1.1680848053480567e-07
-4.814814814814815 7.542277353750062e-11 -7.244845687460104e-10 4.86665625725208e-09 2.6387949740480826e-08 1.2244608679323278e-07
-4.80980980980981 7.932613474036766e-11 -7.612954430231187e-10 5.1092846102391735e-09 2.7678037142562484e-08 1.2831265435157726e-07
-4.804804804804805 8.340922257061342e-11 -7.997549160758603e-10 5.3624655202675676e-09 2.9022517990880072e-08 1.3441853435673217e-07
-4.7997997997998 8.76808861698912e-11 -8.399424202072423e-10 5.626696068641737e-09 3.042389468718314e-08 1.4077446723430256e-07
